id,identifier,name
252,treecko,Treecko
253,grovyle,Grovyle
254,sceptile,Sceptile
255,torchic,Torchic
256,combusken,Combusken
257,blaziken,Blaziken
258,mudkip,Mudkip
259,marshtomp,Marshtomp
260,swampert,Swampert
261,poochyena,Poochyena
262,mightyena,Mightyena
263,zigzagoon,Zigzagoon
264,linoone,Linoone
265,wurmple,Wurmple
266,silcoon,Silcoon
267,beautifly,Beautifly
268,cascoon,Cascoon
269,dustox,Dustox
270,lotad,Lotad
271,lombre,Lombre
272,ludicolo,Ludicolo
273,seedot,Seedot
274,nuzleaf,Nuzleaf
275,shiftry,Shiftry
276,taillow,Taillow
277,swellow,Swellow
278,wingull,Wingull
279,pelipper,Pelipper
280,ralts,Ralts
281,kirlia,Kirlia
282,gardevoir,Gardevoir
283,surskit,Surskit
284,masquerain,Masquerain
285,shroomish,Shroomish
286,breloom,Breloom
287,slakoth,Slakoth
288,vigoroth,Vigoroth
289,slaking,Slaking
290,nincada,Nincada
291,ninjask,Ninjask
292,shedinja,Shedinja
293,whismur,Whismur
294,loudred,Loudred
295,exploud,Exploud
296,makuhita,Makuhita
297,hariyama,Hariyama
298,azurill,Azurill
299,nosepass,Nosepass
300,skitty,Skitty
301,delcatty,Delcatty
302,sableye,Sableye
303,mawile,Mawile
304,aron,Aron
305,lairon,Lairon
306,aggron,Aggron
307,meditite,Meditite
308,medicham,Medicham
309,electrike,Electrike
310,manectric,Manectric
311,plusle,Plusle
312,minun,Minun
313,volbeat,Volbeat
314,illumise,Illumise
315,roselia,Roselia
316,gulpin,Gulpin
317,swalot,Swalot
318,carvanha,Carvanha
319,sharpedo,Sharpedo
320,wailmer,Wailmer
321,wailord,Wailord
322,numel,Numel
323,camerupt,Camerupt
324,torkoal,Torkoal
325,spoink,Spoink
326,grumpig,Grumpig
327,spinda,Spinda
328,trapinch,Trapinch
329,vibrava,Vibrava
330,flygon,Flygon
331,cacnea,Cacnea
332,cacturne,Cacturne
333,swablu,Swablu
334,altaria,Altaria
335,zangoose,Zangoose
336,seviper,Seviper
337,lunatone,Lunatone
338,solrock,Solrock
339,barboach,Barboach
340,whiscash,Whiscash
341,corphish,Corphish
342,crawdaunt,Crawdaunt
343,baltoy,Baltoy
344,claydol,Claydol
345,lileep,Lileep
346,cradily,Cradily
347,anorith,Anorith
348,armaldo,Armaldo
349,feebas,Feebas
350,milotic,Milotic
351,castform,Castform
352,kecleon,Kecleon
353,shuppet,Shuppet
354,banette,Banette
355,duskull,Duskull
356,dusclops,Dusclops
357,tropius,Tropius
358,chimecho,Chimecho
359,absol,Absol
360,wynaut,Wynaut
361,snorunt,Snorunt
362,glalie,Glalie
363,spheal,Spheal
364,sealeo,Sealeo
365,walrein,Walrein
366,clamperl,Clamperl
367,huntail,Huntail
368,gorebyss,Gorebyss
369,relicanth,Relicanth
370,luvdisc,Luvdisc
371,bagon,Bagon
372,shelgon,Shelgon
373,salamence,Salamence
374,beldum,Beldum
375,metang,Metang
376,metagross,Metagross
377,regirock,Regirock
378,regice,Regice
379,registeel,Registeel
380,latias,Latias
381,latios,Latios
382,kyogre,Kyogre
383,groudon,Groudon
384,rayquaza,Rayquaza
385,jirachi,Jirachi
386,deoxys,Deoxys
