id,identifier,name
152,chikorita,Chikorita
153,bayleef,Bayleef
154,meganium,Meganium
155,cyndaquil,Cyndaquil
156,quilava,Quilava
157,typhlosion,Typhlosion
158,totodile,Totodile
159,croconaw,Croconaw
160,feraligatr,Feraligatr
161,sentret,Sentret
162,furret,Furret
163,hoothoot,Hoothoot
164,noctowl,Noctowl
165,ledyba,Ledyba
166,ledian,Ledian
167,spinarak,Spinarak
168,ariados,Ariados
169,crobat,Crobat
170,chinchou,Chinchou
171,lanturn,Lanturn
172,pichu,Pichu
173,cleffa,Cleffa
174,igglybuff,Igglybuff
175,togepi,Togepi
176,togetic,Togetic
177,natu,Natu
178,xatu,Xatu
179,mareep,Mareep
180,flaaffy,Flaaffy
181,ampharos,Ampharos
182,bellossom,Bellossom
183,marill,Marill
184,azumarill,Azumarill
185,sudowoodo,Sudowoodo
186,politoed,Politoed
187,hoppip,Hoppip
188,skiploom,Skiploom
189,jumpluff,Jumpluff
190,aipom,Aipom
191,sunkern,Sunkern
192,sunflora,Sunflora
193,yanma,Yanma
194,wooper,Wooper
195,quagsire,Quagsire
196,espeon,Espeon
197,umbreon,Umbreon
198,murkrow,Murkrow
199,slowking,Slowking
200,misdreavus,Misdreavus
201,unown,Unown
202,wobbuffet,Wobbuffet
203,girafarig,Girafarig
204,pineco,Pineco
205,forretress,Forretress
206,dunsparce,Dunsparce
207,gligar,Gligar
208,steelix,Steelix
209,snubbull,Snubbull
210,granbull,Granbull
211,qwilfish,Qwilfish
212,scizor,Scizor
213,shuckle,Shuckle
214,heracross,Heracross
215,sneasel,Sneasel
216,teddiursa,Teddiursa
217,ursaring,Ursaring
218,slugma,Slugma
219,magcargo,Magcargo
220,swinub,Swinub
221,piloswine,Piloswine
222,corsola,Corsola
223,remoraid,Remoraid
224,octillery,Octillery
225,delibird,Delibird
226,mantine,Mantine
227,skarmory,Skarmory
228,houndour,Houndour
229,houndoom,Houndoom
230,kingdra,Kingdra
231,phanpy,Phanpy
232,donphan,Donphan
233,porygon2,Porygon2
234,stantler,Stantler
235,smeargle,Smeargle
236,tyrogue,Tyrogue
237,hitmontop,Hitmontop
238,smoochum,Smoochum
239,elekid,Elekid
240,magby,Magby
241,miltank,Miltank
242,blissey,Blissey
243,raikou,Raikou
244,entei,Entei
245,suicune,Suicune
246,larvitar,Larvitar
247,pupitar,Pupitar
248,tyranitar,Tyranitar
249,lugia,Lugia
250,ho-oh,Ho-Oh
251,celebi,Celebi
